========= 10000 =========
          43649470 function calls (38794071 primitive calls) in 33.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/utils/loader.py:20(<lambda>)
        6    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


================================================================================
========= 100000 =========
          91485422 function calls (80441372 primitive calls) in 271.495 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  249.683  249.683  251.056  251.056 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/utils/hypergraph_parser.py:11(initialization)
7774865/359438    5.754    0.000   13.504    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
956508/397036    1.553    0.000   11.777    0.000 /usr/lib/python3.8/copy.py:258(_reconstruct)
952120/392648    1.173    0.000    9.898    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
 16510626    0.994    0.000    0.994    0.000 {method 'get' of 'dict' objects}
3862420/1710548    0.772    0.000    1.002    0.000 /usr/lib/python3.8/json/encoder.py:277(_iterencode_list)
113554/85    0.758    0.000   17.822    0.210 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/naive_join.py:27(ground_body)
 13488156    0.757    0.000    0.757    0.000 {built-in method builtins.id}
  2507039    0.748    0.000    1.036    0.000 /usr/lib/python3.8/copy.py:242(_keep_alive)
   362944    0.594    0.000    0.594    0.000 {method 'split' of 'str' objects}
   491197    0.464    0.000    1.189    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/atom.py:31(__str__)
   338138    0.446    0.000    0.446    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:311(__str__)
  6106756    0.401    0.000    0.401    0.000 {built-in method builtins.isinstance}
416512/239816    0.383    0.000    1.025    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/utils/hypergraph_parser.py:58(vertices_from_entity)
   204802    0.273    0.000    1.428    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/ground.py:5(ground_generator)
  1904240    0.267    0.000    1.036    0.000 /usr/lib/python3.8/copy.py:263(<genexpr>)
   268559    0.265    0.000    4.116    0.000 /usr/lib/python3.8/copy.py:209(_deepcopy_tuple)
   158646    0.263    0.000    0.280    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/atom.py:34(<listcomp>)
  4885730    0.263    0.000    0.263    0.000 /usr/lib/python3.8/copy.py:182(_deepcopy_atomic)
  3700409    0.252    0.000    0.252    0.000 {method 'append' of 'list' objects}
   956508    0.250    0.000    0.250    0.000 {method '__reduce_ex__' of 'object' objects}
   956508    0.246    0.000    0.328    0.000 /usr/lib/python3.8/copyreg.py:90(__newobj__)
